topk_ratio,objective,precision,recall,f1,tp,fp,fn,tn,precision_at_k,edge_density_error,orbit_f1,chamfer,hausdorff,rot_self_chamfer,pred_edge_count,target_edge_count
0.14,0.1470636422621808,0.5570693041526374,0.25752269832766755,0.345541388474302,30.466666666666665,24.408333333333335,97.90833333333333,269.51666666666665,0.5011303239191572,0.1725893445322793,0.3509250257390745,0.04652443529727558,0.2890796393776933,0.00030354001505100275,54.875,128.375
0.15000000000000002,0.19884768882242482,0.5471833028083029,0.29237639167821305,0.37361583907495005,34.925,29.0,93.45,264.925,0.5011303239191572,0.15197230456741326,0.37838610079361096,0.04113386396008233,0.2699769850820303,0.0005614328201547202,63.925,128.375
0.16,0.19884768882242482,0.5471833028083029,0.29237639167821305,0.37361583907495005,34.925,29.0,93.45,264.925,0.5011303239191572,0.15197230456741326,0.37838610079361096,0.04113386396008233,0.2699769850820303,0.0005614328201547202,63.925,128.375
0.17,0.2490579444073142,0.543275462962963,0.3289758683159864,0.40156094314468793,39.69166666666667,33.28333333333333,88.68333333333334,260.64166666666665,0.5011303239191572,0.1326113032498902,0.40443311770990314,0.03613543741715451,0.22760126907378436,0.0011130143292188103,72.975,128.375
0.18000000000000002,0.2490579444073142,0.543275462962963,0.3289758683159864,0.40156094314468793,39.69166666666667,33.28333333333333,88.68333333333334,260.64166666666665,0.5011303239191572,0.1326113032498902,0.40443311770990314,0.03613543741715451,0.22760126907378436,0.0011130143292188103,72.975,128.375
0.19,0.2867952956534851,0.5308137838468721,0.35950401633721346,0.4200179913605558,43.50833333333333,38.516666666666666,84.86666666666666,255.40833333333333,0.5011303239191572,0.11584582235397452,0.42449826646235583,0.03496473021805287,0.21186966908474764,0.0010643914276294321,82.025,128.375
0.2,0.2867952956534851,0.5308137838468721,0.35950401633721346,0.4200179913605558,43.50833333333333,38.516666666666666,84.86666666666666,255.40833333333333,0.5011303239191572,0.11584582235397452,0.42449826646235583,0.03496473021805287,0.21186966908474764,0.0010643914276294321,82.025,128.375
0.21000000000000002,0.31461781711117687,0.5135397985705002,0.3851179979207911,0.4312230885758233,46.675,44.45,81.7,249.475,0.5011303239191572,0.10139588823012735,0.435274517489404,0.03397666530994078,0.2143835659449299,0.0015871059938953119,91.125,128.375
0.22000000000000003,0.31461781711117687,0.5135397985705002,0.3851179979207911,0.4312230885758233,46.675,44.45,81.7,249.475,0.5011303239191572,0.10139588823012735,0.435274517489404,0.03397666530994078,0.2143835659449299,0.0015871059938953119,91.125,128.375
0.23,0.3433384345539933,0.506441798941799,0.4150548773961047,0.4468875191499529,50.56666666666667,49.65833333333333,77.80833333333334,244.26666666666668,0.5011303239191572,0.09004268225735616,0.4511193736924694,0.0324601355008781,0.21006772300849358,0.0020292336413613205,100.225,128.375
0.24000000000000002,0.3433384345539933,0.506441798941799,0.4150548773961047,0.4468875191499529,50.56666666666667,49.65833333333333,77.80833333333334,244.26666666666668,0.5011303239191572,0.09004268225735616,0.4511193736924694,0.0324601355008781,0.21006772300849358,0.0020292336413613205,100.225,128.375
0.25,0.3687274377807587,0.49995321355375694,0.44556939287163627,0.46132102995247587,54.575,54.775,73.8,239.15,0.5011303239191572,0.08051616710584102,0.4640569866688794,0.0316653098911047,0.20796460397541522,0.00260134386484147,109.35,128.375
0.26,0.3687274377807587,0.49995321355375694,0.44556939287163627,0.46132102995247587,54.575,54.775,73.8,239.15,0.5011303239191572,0.08051616710584102,0.4640569866688794,0.0316653098911047,0.20796460397541522,0.00260134386484147,109.35,128.375
0.27,0.3687274377807587,0.49995321355375694,0.44556939287163627,0.46132102995247587,54.575,54.775,73.8,239.15,0.5011303239191572,0.08051616710584102,0.4640569866688794,0.0316653098911047,0.20796460397541522,0.00260134386484147,109.35,128.375
0.28,0.3860496353963388,0.4898735628300846,0.4707194238679152,0.47005736898219735,57.766666666666666,60.55833333333333,70.60833333333333,233.36666666666667,0.5011303239191572,0.0730502031181379,0.4719925263570321,0.031025082307557263,0.2075098680953185,0.0038263639390778556,118.325,128.375
0.29000000000000004,0.3860496353963388,0.4898735628300846,0.4707194238679152,0.47005736898219735,57.766666666666666,60.55833333333333,70.60833333333333,233.36666666666667,0.5011303239191572,0.0730502031181379,0.4719925263570321,0.031025082307557263,0.2075098680953185,0.0038263639390778556,118.325,128.375
0.30000000000000004,0.3965050145354925,0.47863712522045854,0.4931214049113349,0.4757939981213511,60.775,66.6,67.6,227.325,0.5011303239191572,0.06894694224857269,0.47658911749500443,0.03033600247775515,0.2057817587008079,0.004981966122880366,127.375,128.375
0.31000000000000005,0.3965050145354925,0.47863712522045854,0.4931214049113349,0.4757939981213511,60.775,66.6,67.6,227.325,0.5011303239191572,0.06894694224857269,0.47658911749500443,0.03033600247775515,0.2057817587008079,0.004981966122880366,127.375,128.375
0.32,0.4026219301733218,0.472349706133231,0.5202129720483298,0.4850337041632208,64.44166666666666,72.05833333333334,63.93333333333333,221.86666666666667,0.5011303239191572,0.07166241216512956,0.4845545606211676,0.030062989021341007,0.20600822505851588,0.0059723164931363695,136.5,128.375
0.33,0.4026219301733218,0.472349706133231,0.5202129720483298,0.4850337041632208,64.44166666666666,72.05833333333334,63.93333333333333,221.86666666666667,0.5011303239191572,0.07166241216512956,0.4845545606211676,0.030062989021341007,0.20600822505851588,0.0059723164931363695,136.5,128.375
0.34,0.4081779276279417,0.4717636098825267,0.5553248837986561,0.499496582930972,68.675,77.0,59.7,216.925,0.5011303239191572,0.07940752635046114,0.49910025977735833,0.029677189281210305,0.2190418551986416,0.0064081263135910725,145.675,128.375
0.35,0.4081779276279417,0.4717636098825267,0.5553248837986561,0.499496582930972,68.675,77.0,59.7,216.925,0.5011303239191572,0.07940752635046114,0.49910025977735833,0.029677189281210305,0.2190418551986416,0.0064081263135910725,145.675,128.375
0.36,0.4040459133128871,0.46691711249912154,0.5834451921987134,0.5079857807371295,72.21666666666667,82.63333333333334,56.15833333333333,211.29166666666666,0.5011303239191572,0.09038249341238472,0.5086415084888356,0.029226204939186574,0.21610124359528224,0.00771046639706851,154.85,128.375
0.37,0.4040459133128871,0.46691711249912154,0.5834451921987134,0.5079857807371295,72.21666666666667,82.63333333333334,56.15833333333333,211.29166666666666,0.5011303239191572,0.09038249341238472,0.5086415084888356,0.029226204939186574,0.21610124359528224,0.00771046639706851,154.85,128.375
0.38,0.4040459133128871,0.46691711249912154,0.5834451921987134,0.5079857807371295,72.21666666666667,82.63333333333334,56.15833333333333,211.29166666666666,0.5011303239191572,0.09038249341238472,0.5086415084888356,0.029226204939186574,0.21610124359528224,0.00771046639706851,154.85,128.375
0.39,0.39577327660023576,0.4615005343467354,0.6088335840280448,0.5142797475598317,75.6,88.325,52.775,205.6,0.5011303239191572,0.10304910518225736,0.5147926128978296,0.029197584154705206,0.21187398868302504,0.007479801170688505,163.925,128.375
0.4,0.39577327660023576,0.4615005343467354,0.6088335840280448,0.5142797475598317,75.6,88.325,52.775,205.6,0.5011303239191572,0.10304910518225736,0.5147926128978296,0.029197584154705206,0.21187398868302504,0.007479801170688505,163.925,128.375
0.41000000000000003,0.3859444953560634,0.4571384036070568,0.6356193280797618,0.5210033653055584,79.16666666666667,93.70833333333333,49.208333333333336,200.21666666666667,0.5011303239191572,0.1174424956082565,0.5210113575994484,0.02910607592202723,0.21809215831259887,0.009358368207015154,172.875,128.375
0.42000000000000004,0.3859444953560634,0.4571384036070568,0.6356193280797618,0.5210033653055584,79.16666666666667,93.70833333333333,49.208333333333336,200.21666666666667,0.5011303239191572,0.1174424956082565,0.5210113575994484,0.02910607592202723,0.21809215831259887,0.009358368207015154,172.875,128.375
0.43,0.3732406795158454,0.4529874144978312,0.6625421237179064,0.5272013802734211,82.725,99.375,45.65,194.55,0.5011303239191572,0.13387887022397893,0.5269753879512976,0.029132393235340715,0.2093657970428467,0.009505046029384064,182.1,128.375
0.44,0.3732406795158454,0.4529874144978312,0.6625421237179064,0.5272013802734211,82.725,99.375,45.65,194.55,0.5011303239191572,0.13387887022397893,0.5269753879512976,0.029132393235340715,0.2093657970428467,0.009505046029384064,182.1,128.375
0.45,0.35779125198114303,0.4489958603774393,0.6885119293129549,0.5326910310215471,86.075,105.1,42.3,188.825,0.5011303239191572,0.15208676438296007,0.532399504736069,0.02905864849065741,0.2148411151021719,0.01103396970866602,191.175,128.375
0.46,0.35779125198114303,0.4489958603774393,0.6885119293129549,0.5326910310215471,86.075,105.1,42.3,188.825,0.5011303239191572,0.15208676438296007,0.532399504736069,0.02905864849065741,0.2148411151021719,0.01103396970866602,191.175,128.375
0.47000000000000003,0.34034890934410855,0.44544161123429415,0.71394622305722,0.5378276025259268,89.425,110.95,38.95,182.975,0.5011303239191572,0.17172060276679843,0.5371115442362682,0.02897662160297235,0.2059831087787946,0.011318309601990375,200.375,128.375
0.48000000000000004,0.34034890934410855,0.44544161123429415,0.71394622305722,0.5378276025259268,89.425,110.95,38.95,182.975,0.5011303239191572,0.17172060276679843,0.5371115442362682,0.02897662160297235,0.2059831087787946,0.011318309601990375,200.375,128.375
0.49000000000000005,0.31647136324209446,0.43767885898320685,0.7329191479158046,0.5373796650097712,91.83333333333333,117.71666666666667,36.541666666666664,176.20833333333334,0.5011303239191572,0.1920941754501537,0.5365627355129374,0.02896331458662947,0.2057017020881176,0.01208910522117429,209.55,128.375
0.5,0.31647136324209446,0.43767885898320685,0.7329191479158046,0.5373796650097712,91.83333333333333,117.71666666666667,36.541666666666664,176.20833333333334,0.5011303239191572,0.1920941754501537,0.5365627355129374,0.02896331458662947,0.2057017020881176,0.01208910522117429,209.55,128.375
0.51,0.31647136324209446,0.43767885898320685,0.7329191479158046,0.5373796650097712,91.83333333333333,117.71666666666667,36.541666666666664,176.20833333333334,0.5011303239191572,0.1920941754501537,0.5365627355129374,0.02896331458662947,0.2057017020881176,0.01208910522117429,209.55,128.375
0.52,0.2932039524991765,0.43197916666666664,0.7552450193836943,0.5389638956809947,94.63333333333334,124.16666666666667,33.74166666666667,169.75833333333333,0.5011303239191572,0.21370429841897234,0.5384112623546485,0.02891152131681641,0.20418682942787805,0.012178068637961371,218.8,128.375
0.53,0.2932039524991765,0.43197916666666664,0.7552450193836943,0.5389638956809947,94.63333333333334,124.16666666666667,33.74166666666667,169.75833333333333,0.5011303239191572,0.21370429841897234,0.5384112623546485,0.02891152131681641,0.20418682942787805,0.012178068637961371,218.8,128.375
0.54,0.2664931747513253,0.42473961352657,0.772420728129661,0.5375561482361737,96.99166666666666,131.05833333333334,31.383333333333333,162.86666666666667,0.5011303239191572,0.23570693346508562,0.5372512484145137,0.028888630804916222,0.21015661799659333,0.012704954996274083,228.05,128.375
0.55,0.2664931747513253,0.42473961352657,0.772420728129661,0.5375561482361737,96.99166666666666,131.05833333333334,31.383333333333333,162.86666666666667,0.5011303239191572,0.23570693346508562,0.5372512484145137,0.028888630804916222,0.21015661799659333,0.012704954996274083,228.05,128.375
